rowid,pl_name,hostname,pl_orbper,pl_orblper,pl_orbtper,pl_orbsmax,pl_orbeccen,st_rad,st_mass
3517,Kepler-968 c,Kepler-968,5.709404918,,,0.052,0.0,0.7,0.76
3518,Kepler-969 b,Kepler-969,34.1731714,,,0.19726,0.0,0.82,0.92
3519,Kepler-969 c,Kepler-969,1.682934604,,,0.0265,0.0,0.82,0.92
3520,Kepler-970 b,Kepler-970,16.736525,117.0,,0.139,0.34,0.71,0.67
3521,Kepler-934 b,Kepler-934,55.6738309,,,0.2658,0.0,0.77,0.81
3522,Kepler-961 b,Kepler-961,16.87727414,,,0.12585,0.0,0.9,0.96
3523,Kepler-962 b,Kepler-962,12.05707239,,,0.09874,0.0,0.86,0.93
3524,Kepler-963 b,Kepler-963,9.97683705,,,0.0849,0.0,0.87,0.91
3525,Kepler-964 b,Kepler-964,13.5225106,,,0.1073,0.0,0.84,0.93
3526,Kepler-965 b,Kepler-965,134.2527298,,,0.50998,0.0,1.15,1.05
3527,Kepler-966 b,Kepler-966,99.747622,,,0.3907,0.0,1.02,1.02
3528,Kepler-967 b,Kepler-967,13.22713379,,,0.1027,0.0,0.8,0.84
3529,Kepler-954 b,Kepler-954,16.78176602,,,0.1202,0.0,0.76,0.82
3530,Kepler-907 b,Kepler-907,15.86621821,,,0.1225,0.0,1.38,1.08
3531,Kepler-908 b,Kepler-908,1.340597468,,,0.02526,0.0,1.12,1.11
3532,Kepler-909 b,Kepler-909,13.93290318,,,0.11873,0.0,1.23,1.17
3533,Kepler-910 b,Kepler-910,2.364369015,,,0.03752,0.0,1.5,1.26
3534,Kepler-900 b,Kepler-900,6.9913086,,,0.0679,0.0,0.73,0.78
3535,Kepler-901 b,Kepler-901,3.517494394,,,0.0378,0.0,0.57,0.59
3536,Kepler-912 b,Kepler-912,2.534756273,,,0.0339,0.0,1.11,1.07
3537,Kepler-913 b,Kepler-913,10.29672521,,,0.1009,0.0,0.61,0.63
3538,Kepler-903 b,Kepler-903,10.3507721,,,0.09081,0.0,0.97,0.98
3539,Kepler-903 c,Kepler-903,62.9228557,,,0.30249,0.0,0.97,0.98
3540,Kepler-894 b,Kepler-894,9.803224,,,0.0916,0.0,0.85,0.87
3541,Kepler-895 b,Kepler-895,2.806242328,,,0.0328,0.0,0.61,0.65
3542,Kepler-896 b,Kepler-896,144.547396,,,0.56378,0.0,0.81,0.84
3543,Kepler-897 b,Kepler-897,8.0472642,,,0.077,0.0,1.04,1.03
3544,Kepler-898 b,Kepler-898,5.8706191,,,0.0545,0.0,0.62,0.65
3545,Kepler-906 b,Kepler-906,41.6979976,,,0.22363,0.0,1.02,1.06
3546,Kepler-952 b,Kepler-952,130.3546919,,,0.5183,0.0,0.99,1.0
3547,Kepler-953 b,Kepler-953,88.40655258,,,0.392,0.0,0.99,0.95
3548,Kepler-953 c,Kepler-953,9.10967112,,,0.0862,0.0,0.99,0.95
3549,Kepler-217 d,Kepler-217,3.88689525,,,0.0534,0.0,1.76,1.37
3550,Kepler-218 d,Kepler-218,124.5244647,,,0.49884,0.0,1.02,1.01
3551,Kepler-941 b,Kepler-941,17.42395198,,,0.1311,0.0,0.86,0.89
3552,Kepler-942 b,Kepler-942,44.96417488,,,0.22737,0.0,0.75,0.81
3553,Kepler-902 b,Kepler-902,40.1099547,,,0.223,0.0,0.93,0.95
3554,Kepler-944 b,Kepler-944,43.3167737,,,0.2288,0.0,0.83,0.86
3555,Kepler-945 b,Kepler-945,31.0033814,,,0.2037,0.0,0.97,0.97
3556,Kepler-946 b,Kepler-946,11.79162572,,,0.1002,0.0,0.93,0.94
3557,Kepler-947 b,Kepler-947,26.9644317,,,0.1773,0.0,0.87,0.9
3558,Kepler-948 b,Kepler-948,7.76846622,,,0.0749,0.0,0.94,0.96
3559,Kepler-936 b,Kepler-936,10.56134221,,,0.0954,0.0,0.89,0.92
3560,Kepler-937 b,Kepler-937,67.668827,,,0.3214,0.0,1.22,1.15
3561,Kepler-951 b,Kepler-951,71.52530845,,,0.3091,0.0,0.73,0.77
3562,Kepler-876 b,Kepler-876,5.14438011,,,0.0549,0.0,0.77,0.81
3563,Kepler-877 b,Kepler-877,18.45847097,,,0.1301,0.0,0.81,0.85
3564,Kepler-878 b,Kepler-878,25.9422033,,,0.165,0.0,0.77,0.81
3565,Kepler-879 b,Kepler-879,33.3855938,,,0.2012,0.0,1.02,1.02
3566,Kepler-245 e,Kepler-245,3.219821056,,,0.04053,0.0,0.8,0.86
3567,Kepler-893 b,Kepler-893,6.33855761,,,0.0699,0.0,0.99,1.0
3568,Kepler-880 b,Kepler-880,7.71468975,,,0.0915,0.0,1.74,1.46
3569,Kepler-881 b,Kepler-881,4.44448017,,,0.0552,0.0,1.09,1.06
3570,Kepler-870 b,Kepler-870,21.3587621,,,0.1539,0.0,1.02,1.01
3571,Kepler-871 b,Kepler-871,22.0459018,,,0.1572,0.0,1.14,1.11
3572,Kepler-872 b,Kepler-872,2.578855068,,,0.0362,0.0,1.08,1.05
3573,Kepler-873 b,Kepler-873,20.5533844,,,0.1542,0.0,1.27,1.18
3574,Kepler-862 b,Kepler-862,3.148664534,,,0.039,0.0,0.84,0.88
3575,Kepler-863 b,Kepler-863,15.59461874,,,0.122,0.0,0.95,0.96
3576,Kepler-874 b,Kepler-874,40.0686727,,,0.2234,0.0,1.13,1.09
3577,Kepler-875 b,Kepler-875,27.5073799,,,0.1771,0.0,1.11,1.06
3578,Kepler-918 b,Kepler-918,4.85386933,,,0.0569,0.0,1.14,1.11
3579,Kepler-919 b,Kepler-919,11.04603384,,,0.0981,0.0,1.21,1.15
3580,Kepler-920 b,Kepler-920,6.53192704,,,0.065,0.0,0.85,0.89
3581,Kepler-920 c,Kepler-920,100.8274113,,,0.4029,0.0,0.85,0.89
3582,Kepler-921 b,Kepler-921,51.300634,,,0.2716,0.0,0.91,0.93
3583,Kepler-911 b,Kepler-911,20.310501,,,0.15594,0.0,1.99,1.34
3584,Kepler-868 b,Kepler-868,5.03251791,,,0.0575,0.0,0.89,0.93
3585,Kepler-869 b,Kepler-869,40.4287755,,,0.2244,0.0,0.95,0.97
3586,Kepler-914 b,Kepler-914,4.40966548,,,0.05454,0.0,1.15,1.1
3587,Kepler-915 b,Kepler-915,4.59489604,,,0.05655,0.0,1.38,1.21
3588,Kepler-916 b,Kepler-916,32.2968798,,,0.1885,0.0,0.81,0.85
3589,Kepler-917 b,Kepler-917,2.970414375,,,0.0378,0.0,0.76,0.8
3590,Kepler-904 b,Kepler-904,3.021668632,,,0.0417,0.0,1.25,1.16
3591,Kepler-905 b,Kepler-905,5.082746517,,,0.05689,0.0,0.86,0.95
3592,Kepler-928 b,Kepler-928,3.932461302,,,0.0444,0.0,0.7,0.73
3593,Kepler-929 b,Kepler-929,0.921032135,,,0.01982,0.0,1.02,1.01
3594,Kepler-843 b,Kepler-843,2.053879821,,,0.0313,0.0,1.03,1.02
3595,Kepler-1401 b,Kepler-1401,11.20066445,,,0.0975,0.0,1.1,1.07
3596,Kepler-1411 b,Kepler-1411,86.1150888,,,0.4001,0.0,0.92,0.95
3597,Kepler-1412 b,Kepler-1412,3.6146051,,,0.04608,0.0,1.27,1.06
3598,Kepler-1413 b,Kepler-1413,13.1829642,,,0.1066,0.0,0.8,0.84
3599,Kepler-1414 b,Kepler-1414,3.51576315,,,0.0426,0.0,0.75,0.8
3600,Kepler-1415 b,Kepler-1415,0.63642408,,,0.01416,0.0,0.84,0.89
3601,Kepler-1416 b,Kepler-1416,1.49514952,,,0.0257,0.0,1.15,1.09
3602,Kepler-839 b,Kepler-839,37.8144514,,,0.2316,0.0,1.31,1.22
